country,score
SAU,0.016776739075509278
MNG,0.02239140170174653
GIN,0.0249003984063745
IRN,0.027272727272727275
YEM,0.0500751126690035
THA,0.06106870229007634
BHR,0.07393715341959335
MAR,0.07473841554559044
CHN,0.075
KWT,0.08330602589324278
LBN,0.0847457627118644
JPN,0.09617486338797814
GTM,0.10124965479149407
DZA,0.11813349084465445
MAC,0.1228803145736053
TUR,0.1271186440677966
MEX,0.13290804366753733
JOR,0.13449899125756556
EGY,0.13774104683195593
QAT,0.1539250897896357
CHL,0.16194331983805668
KOR,0.17124625999877877
URY,0.1820388349514563
KHM,0.1841620626151013
PRI,0.2159827213822894
BRA,0.24387749060011255
IRL,0.2669657234874626
SWE,0.2702702702702703
NIC,0.2762430939226519
MMR,0.28404249275691645
TWN,0.3107666029760871
PRY,0.3125
POL,0.32357142857142857
SLV,0.336322869955157
AUS,0.36769395398608884
TUN,0.3736883937868528
ESP,0.3755072463768116
SOM,0.3875968992248062
GRC,0.400625
SEN,0.4010899349006056
SDN,0.40322580645161293
ECU,0.4054054054054054
FRA,0.438621110433191
ISR,0.46240184737266454
RUS,0.4704016913319239
AUT,0.4849549033865004
DEU,0.4921658986175115
COD,0.5050505050505051
CRI,0.5274261603375527
MYS,0.5314129322526678
NOR,0.5408653846153846
CYP,0.5524861878453038
SVN,0.5730659025787966
BEL,0.5802113916617733
HRV,0.5912698412698413
ITA,0.6043690851735016
FIN,0.6468305304010349
DOM,0.6501454370435474
BGR,0.6553030303030304
NLD,0.6593406593406593
UZB,0.6720430107526881
VNM,0.6722889405011424
CUB,0.689655172413793
LVA,0.6968641114982578
SGP,0.7016770358758307
SVK,0.7177033492822966
ARG,0.7291397849462365
PER,0.7358064516129033
GBR,0.7362207403375068
MKD,0.7751937984496124
ARE,0.7769109862800404
AFG,0.7836990595611285
CHE,0.8333333333333334
CZE,0.863384484228474
USA,0.8672489242358178
RWA,0.8741258741258742
HKG,0.8759932848349189
ETH,0.9017132551848512
IDN,0.9592578347812735
CIV,1.0379663866743611
NZL,1.0395492708793637
MDV,1.107956656652443
CAN,1.1655553585426854
PAN,1.1727078891257996
EST,1.2213295719367105
NPL,1.260743741811728
TZA,1.262351773537523
MLI,1.3440860215053763
MUS,1.3440860215053763
BLR,1.4285714285714286
BRB,1.4450867052023122
ISL,1.4749262536873158
BIH,1.5348348348348348
CYM,1.5625
SRB,1.6137218725128428
HUN,1.6446811971372803
BLZ,1.6891891891891893
MWI,1.7123287671232876
MOZ,1.7361111111111112
PAK,1.7864002676961765
COL,1.803771551724138
TTO,1.8050541516245489
LKA,1.8903591682419658
PRT,1.9328672278034211
JAM,1.9639197732722915
SYR,2.127659574468085
IND,2.1503270759755737
MDA,2.232142857142857
UKR,2.2997032640949553
HTI,2.347417840375587
ARM,2.380952380952381
SWZ,2.4509803921568625
BHS,2.4533856722276743
GEO,2.4691358024691357
LTU,2.4691358024691357
MLT,2.472799208704253
ATG,2.5510204081632653
DNK,2.6695526695526697
CMR,2.7643097643097643
MDG,2.840909090909091
BDI,2.9761904761904763
KEN,3.153445951007566
COG,3.193231441048035
ROU,3.287098024021697
NCL,3.676470588235294
ZMB,3.7465874178934606
SXM,3.787878787878788
FJI,3.90625
VCT,4.310344827586206
PHL,5.2272280149518
BWA,5.482551969536176
ZWE,5.492151723396761
BGD,5.656623235263394
VEN,6.426118067978533
TGO,6.944444444444445
BMU,7.042253521126761
UGA,7.952246054229057
NER,8.152173913043478
ZAF,8.909774436090226
GRL,8.928571428571429
WSM,11.363636363636363
LSO,12.016970163289733
NAM,15.572703181022073
GHA,17.952607505648523
SYC,21.53755868544601
BEN,41.08695652173913
NGA,124.59364276684124
